english
drink
eat
buy
speak
live
make
wear
talk
watch
read
help
practice
clean
enjoy
visit
ride
come
get
save
stop
study
join
work
call
chat
check
climb
collect
cut
dig
disappear
draw
drive
feed
grow
hit
hop
hug
keep
kick
meet
wait
wash
water
write
ate
went
saw
had
made
enjoyed
played
watched
always
usually
sometimes
never
morning
afternoon
evening
night
get up
comb my hair
take out the garbage
get the newspaper
have breakfast
brush my teeth
go to school
study English
have lunch
go home
play soccer
walk my dog
do my homework
have dinner
wash the dishes
watch TV
take a bath
go to bed
clean my room
play with my friends
clothes
shirt
t-shirt
sweatshirt
sweater
uniform
pants
jeans
cap
hat
gloves
socks
shoes
apron
coat
jacket
vest
skirt
boots
glasses
ribbon
body
hair
head
face
shoulder
hand
arm
knee
eye
ear
nose
mouth
teeth
neck
leg
eyebrow
fingers
stomach
ankle
foot
tongue
elbow
thumb
nail
town
house
park
library
museum
hospital
bus stop
station
police station
fire station
post office
bookstore
restaurant
supermarket
castle
shrine
temple
church
aquarium
stadium
zoo
amusement park
convenience store
elementary school
junior high school
bus
taxi
bike
train
city
city hall
bank
hotel
kindergarten
shop
flower shop
department store
shopping mall
theater
planetarium
dome
tower
gas station
factory
farm
garden
dam
airport
bridge
street
airplane
car
truck
van
subway
unicycle
boat
ship
yacht
directions
go
straight
turn
right
left
see
up
down
block
corner
traffic light
by
in
on
under
subjects
English
Japanese
calligraphy
social studies
math
science
music
arts and crafts
home economics
P.E.
moral eduation
period for integrated studies
homeroom
school
classroom
computer room
entrance
gym
library
music room
playground
school nurse’s office
restroom
swimming pool
teachers’ office
school principal’s office
stationery
crayon
marker
pen
pencil
pencil case
eraser
ruler
glue
scissors
stapler
notebook
pencil sharpener
ballpoint pen
colored pencil
brush
ink
pin
recorder
harmonica
triangle
piano
guitar
violin
drum
xylophone
keyboard harmonica
castanets
bag
bat
glove
racket
soccer shoes
umbrella
glass
mug
textbook
comic book
dictionary
present
treasure
sticker
ticket
watch
TV
computer
smartphone
tablet
desk
chair
bed
ball
basket
book
album
box
calendar
card
fan
map
picture
doll
ring
clock
camera
telephone
plastic bag
bucket
garbage
wheelchair
cup
fork
spoon
dish
pot
gate
elevator
door
key
room
rug
quilt
sofa
table
lamp
wall
window
bath
yen
camping
dancing
fishing
hiking
shopping
reading
drawing
jogging
skateboarding
swinging
playing the piano
playing video games
seeing movies
cards
jump rope
tag
hide-and-seek
running
kite flying
top spinning
playing dodgeball
school events
field trip
school trip
chorus contest
volunteer day
drama festival
music festival
school festival
sports day
evacuation drill
swimming meet
summer vacation
entrance ceremony
graduation ceremony
fire drill
outdoor nature camp
birthday
New Year’s Day
Dolls’ Festival
cherry blossom viewing
Children’s Day
Star Festival
fireworks festival
Halloween
Christmas
New Year’s Eve
snow festival
nice
amazing
fantastic
wonderful
beautiful
cool
cute
favorite
interesting
exciting
famous
popular
colorful
international
fun
big
small
new
old
high
low
long
short
fast
slow
jobs
artist
writer
singer
comedian
doctor
nurse
vet
zookeeper
cook
baker
farmer
police officer
fire fighter
pilot
programmer
office worker
astronaut
teacher
researcher
scientist
flight attendant
baseball player
mountaineer
now
future
club activities
baseball team
softball team
basketball team
volleyball team
soccer team
tennis team
table tennis team
badminton team
dance team
track and field team
art club
cooking club
drama club
brass band
chorus contest
broadcasting club
newspaper club

photography club
